FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
100_2_NBody_NoSlowdown.xml,100,2,NBody,NoSlowdown,"nbody.Body.setVZ",82.9,"nbody.Body.setZ",15.3,"NBody.innerBenchmarkLoop",1.4,"nbody.NBodySystem.advance",0.3,"java.io.PrintStream.println",0.0
100_2_NBody_Slowdown.xml,100,2,NBody,Slowdown,"NBody.innerBenchmarkLoop",50.2,"nbody.Body.setVZ",43.1,"nbody.Body.setZ",6.6,"nbody.NBodySystem.advance",0.1,"java.io.PrintStream.println",0.0
100_2_Permute_NoSlowdown.xml,100,2,Permute,NoSlowdown,"Permute.permute",99.8,"Permute.benchmark",0.1,"Run.printResult",0.1,"Run.reportBenchmark",0.0,"",0
100_2_Permute_Slowdown.xml,100,2,Permute,Slowdown,"Permute.permute",99.9,"Permute.benchmark",0.0,"Run.printResult",0.0,"Permute.swap",0.0,"Run.reportBenchmark",0.0
100_2_Queens_NoSlowdown.xml,100,2,Queens,NoSlowdown,"Queens.placeQueen",97.2,"Queens.queens",2.3,"Queens.benchmark",0.3,"java.lang.ClassLoader.loadClass",0.1,"java.util.Arrays.fill",0.1
100_2_Queens_Slowdown.xml,100,2,Queens,Slowdown,"Queens.placeQueen",98.5,"Queens.queens",1.2,"Queens.benchmark",0.1,"Benchmark.innerBenchmarkLoop",0.1,"Run.printResult",0.0
100_2_Richards_NoSlowdown.xml,100,2,Richards,NoSlowdown,"richards.Scheduler.schedule",25.1,"richards.TaskControlBlock.runTask",17.9,"richards.TaskState.isTaskHoldingOrWaiting",13.3,"richards.Scheduler$HandlerProcessFunction.apply",12.2,"richards.Scheduler$DeviceProcessFunction.apply",8.3
100_2_Richards_Slowdown.xml,100,2,Richards,Slowdown,"richards.Scheduler.schedule",27.3,"richards.TaskControlBlock.runTask",16.2,"richards.TaskState.isTaskHoldingOrWaiting",12.8,"richards.Scheduler$HandlerProcessFunction.apply",12.7,"richards.Scheduler$DeviceProcessFunction.apply",7.8
100_2_Sieve_NoSlowdown.xml,100,2,Sieve,NoSlowdown,"Sieve.sieve",99.9,"Benchmark.innerBenchmarkLoop",0.1,"java.io.PrintStream.println",0.0,"Run.printResult",0.0,"Run.runBenchmark",0.0
100_2_Sieve_Slowdown.xml,100,2,Sieve,Slowdown,"Sieve.sieve",99.9,"Run.printResult",0.0,"java.io.PrintStream.println",0.0,"Benchmark.innerBenchmarkLoop",0.0,"java.util.Arrays.fill",0.0
100_2_Storage_NoSlowdown.xml,100,2,Storage,NoSlowdown,"Storage.buildTreeDepth",61.2,"Storage.lambda$buildTreeDepth$0",27.0,"som.Arrays.setAll",11.1,"som.Random.next",0.5,"Run.reportBenchmark",0.0
100_2_Storage_Slowdown.xml,100,2,Storage,Slowdown,"Storage.buildTreeDepth",63.9,"Storage.lambda$buildTreeDepth$0",24.4,"som.Arrays.setAll",11.4,"som.Random.next",0.3,"Run.printResult",0.0
100_2_Towers_NoSlowdown.xml,100,2,Towers,NoSlowdown,"Towers.moveDisks",89.3,"Towers.moveTopDisk",10.5,"Towers.benchmark",0.1,"java.io.PrintStream.println",0.0,"Run.printResult",0.0
100_2_Towers_Slowdown.xml,100,2,Towers,Slowdown,"Towers.moveDisks",89.3,"Towers.moveTopDisk",10.5,"Towers.benchmark",0.1,"java.io.PrintStream.println",0.0,"Run.reportBenchmark",0.0
100_3_Bounce_NoSlowdown.xml,100,3,Bounce,NoSlowdown,"Bounce.benchmark",92.9,"java.util.Arrays.setAll",6.9,"Benchmark.innerBenchmarkLoop",0.0,"java.io.PrintStream.println",0.0,"Run.printResult",0.0
100_3_Bounce_Slowdown.xml,100,3,Bounce,Slowdown,"Bounce.benchmark",94.2,"java.util.Arrays.setAll",5.7,"Benchmark.innerBenchmarkLoop",0.1,"java.io.PrintStream.println",0.0,"Run.measure",0.0
100_3_CD_NoSlowdown.xml,100,3,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",18.5,"cd.Vector2D.compareTo",18.0,"cd.CollisionDetector.recurse",17.6,"cd.RedBlackTree.put",12.7,"cd.RedBlackTree.findNode",5.5
100_3_CD_Slowdown.xml,100,3,CD,Slowdown,"cd.RedBlackTree.treeInsert",19.7,"cd.CollisionDetector.recurse",18.7,"cd.Vector2D.compareTo",17.5,"cd.RedBlackTree.put",13.2,"cd.RedBlackTree.findNode",7.6
100_3_DeltaBlue_NoSlowdown.xml,100,3,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",58.7,"deltablue.Plan.execute",8.8,"som.Vector.forEach",6.6,"deltablue.EqualityConstraint.execute",5.4,"deltablue.Planner.addPropagate",2.1
100_3_DeltaBlue_Slowdown.xml,100,3,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",62.3,"deltablue.Plan.execute",9.5,"deltablue.EqualityConstraint.execute",8.0,"som.Vector.forEach",5.3,"deltablue.ScaleConstraint.execute",1.6
100_3_Havlak_NoSlowdown.xml,100,3,Havlak,NoSlowdown,"som.Vector.hasSome",30.6,"som.Vector.forEach",13.0,"som.Vector.append",12.0,"havlak.HavlakLoopFinder.findLoops",7.3,"havlak.SimpleLoop.setParent",6.6
100_3_Havlak_Slowdown.xml,100,3,Havlak,Slowdown,"som.Vector.hasSome",27.3,"som.Vector.append",20.7,"som.Vector.forEach",18.1,"havlak.HavlakLoopFinder.findLoops",6.7,"havlak.HavlakLoopFinder.stepD",4.2
100_3_Json_NoSlowdown.xml,100,3,Json,NoSlowdown,"json.JsonPureStringParser.read",23.2,"json.JsonPureStringParser.isWhiteSpace",12.5,"json.JsonPureStringParser.readStringInternal",11.5,"json.JsonPureStringParser.isDigit",6.6,"java.lang.StringBuilder.append",5.6
100_3_Json_Slowdown.xml,100,3,Json,Slowdown,"json.JsonPureStringParser.read",24.9,"json.JsonPureStringParser.isWhiteSpace",12.9,"json.JsonPureStringParser.readStringInternal",11.9,"json.JsonPureStringParser.isDigit",7.1,"java.lang.StringBuilder.append",5.7
100_3_List_NoSlowdown.xml,100,3,List,NoSlowdown,"List.isShorterThan",79.4,"List.tail",19.7,"List.makeList",0.7,"List.benchmark",0.1,"List$Element.length",0.1
100_3_List_Slowdown.xml,100,3,List,Slowdown,"List.isShorterThan",81.7,"List.tail",18.0,"List.makeList",0.2,"List.benchmark",0.0,"List$Element.length",0.0
100_3_Mandelbrot_NoSlowdown.xml,100,3,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.9,"Run.printResult",0.0,"Run.runBenchmark",0.0,"java.io.PrintStream.println",0.0,"java.lang.ClassLoader.loadClass",0.0
100_3_Mandelbrot_Slowdown.xml,100,3,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",99.9,"Run.printResult",0.0,"Run.reportBenchmark",0.0,"java.io.PrintStream.println",0.0,"Run.runBenchmark",0.0
100_3_NBody_NoSlowdown.xml,100,3,NBody,NoSlowdown,"nbody.Body.setVZ",81.8,"nbody.Body.setZ",16.1,"NBody.innerBenchmarkLoop",1.7,"nbody.NBodySystem.advance",0.2,"java.io.PrintStream.println",0.0
100_3_NBody_Slowdown.xml,100,3,NBody,Slowdown,"NBody.innerBenchmarkLoop",50.3,"nbody.Body.setVZ",43.2,"nbody.Body.setZ",6.3,"nbody.NBodySystem.advance",0.1,"Run.printResult",0.0
100_3_Permute_NoSlowdown.xml,100,3,Permute,NoSlowdown,"Permute.permute",99.9,"Run.printResult",0.0,"Run.reportBenchmark",0.0,"java.io.PrintStream.println",0.0,"",0
100_3_Permute_Slowdown.xml,100,3,Permute,Slowdown,"Permute.permute",100.0,"Run.reportBenchmark",0.0,"Permute.benchmark",0.0,"Run.printResult",0.0,"",0
100_3_Queens_NoSlowdown.xml,100,3,Queens,NoSlowdown,"Queens.placeQueen",97.2,"Queens.queens",2.4,"java.io.PrintStream.println",0.1,"Queens.benchmark",0.1,"Run.printResult",0.1
100_3_Queens_Slowdown.xml,100,3,Queens,Slowdown,"Queens.placeQueen",97.9,"Queens.queens",1.6,"Queens.benchmark",0.3,"Benchmark.innerBenchmarkLoop",0.1,"java.io.PrintStream.println",0.0
100_3_Richards_NoSlowdown.xml,100,3,Richards,NoSlowdown,"richards.Scheduler.schedule",24.5,"richards.TaskControlBlock.runTask",17.8,"richards.TaskState.isTaskHoldingOrWaiting",13.6,"richards.Scheduler$HandlerProcessFunction.apply",12.9,"richards.Scheduler$DeviceProcessFunction.apply",8.8
100_3_Richards_Slowdown.xml,100,3,Richards,Slowdown,"richards.Scheduler.schedule",27.5,"richards.TaskControlBlock.runTask",16.4,"richards.Scheduler$HandlerProcessFunction.apply",12.7,"richards.TaskState.isTaskHoldingOrWaiting",12.4,"richards.Scheduler$DeviceProcessFunction.apply",8.2
100_3_Sieve_NoSlowdown.xml,100,3,Sieve,NoSlowdown,"Sieve.sieve",99.8,"Benchmark.innerBenchmarkLoop",0.1,"Run.printResult",0.0,"java.io.PrintStream.println",0.0,"Sieve.benchmark",0.0
100_3_Sieve_Slowdown.xml,100,3,Sieve,Slowdown,"Sieve.sieve",99.9,"Benchmark.innerBenchmarkLoop",0.0,"Run.printResult",0.0,"Sieve.benchmark",0.0,"java.util.Arrays.fill",0.0
100_3_Storage_NoSlowdown.xml,100,3,Storage,NoSlowdown,"Storage.buildTreeDepth",60.8,"Storage.lambda$buildTreeDepth$0",27.0,"som.Arrays.setAll",11.4,"som.Random.next",0.6,"java.lang.ClassLoader.loadClass",0.0
100_3_Storage_Slowdown.xml,100,3,Storage,Slowdown,"Storage.buildTreeDepth",64.2,"Storage.lambda$buildTreeDepth$0",23.9,"som.Arrays.setAll",11.3,"som.Random.next",0.5,"java.io.PrintStream.println",0.0
100_3_Towers_NoSlowdown.xml,100,3,Towers,NoSlowdown,"Towers.moveDisks",89.0,"Towers.moveTopDisk",10.7,"Towers.benchmark",0.2,"Run.reportBenchmark",0.0,"Run.printResult",0.0
100_3_Towers_Slowdown.xml,100,3,Towers,Slowdown,"Towers.moveDisks",89.2,"Towers.moveTopDisk",10.6,"Towers.benchmark",0.1,"Run.printResult",0.0,"Run.printTotal",0.0
100_4_Bounce_NoSlowdown.xml,100,4,Bounce,NoSlowdown,"Bounce.benchmark",93.3,"java.util.Arrays.setAll",6.6,"Run.printResult",0.1,"Benchmark.innerBenchmarkLoop",0.0,"Run.reportBenchmark",0.0
