------------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                     Extra   Core   Size   Var   #Samples   Mean (ms)  
------------------------------------------------------------------------------------------------------------
  Permute      Runner     NoSlowdown-50              3500      1            3                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            4                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            5                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            6                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            7                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            8                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            9                    500    97  
  Queens       Runner     NoSlowdown-50              5000      1            1                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1           10                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            2                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            3                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            4                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            5                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            6                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            7                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            8                    500    71  
  Queens       Runner     NoSlowdown-50              5000      1            9                    500    71  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            1                    500   224  
  DeltaBlue    Runner     NoSlowdown-50             60000      1           10                    500   223  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            2                    500   224  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            3                    500   221  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            4                    500   224  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            5                    500   224  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            6                    500   223  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            7                    500   224  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            8                    500   224  
  DeltaBlue    Runner     NoSlowdown-50             60000      1            9                    500   226  
  Mandelbrot   Runner     NoSlowdown-50               750      1            1                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1           10                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            2                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            3                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            4                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            5                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            6                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            7                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            8                    500   128  
  Mandelbrot   Runner     NoSlowdown-50               750      1            9                    500   128  
