FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
2_5_List_Slowdown.xml,2,5,List,Slowdown,"List.isShorterThan",90.2,"List.tail",8.8,"List.makeList",0.5,"List.benchmark",0.3,"List$Element.length",0.1
2_5_Richards_Slowdown.xml,2,5,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.3,"richards.Scheduler.schedule",16.5,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"Benchmark.innerBenchmarkLoop",0.1
2_6_Havlak_Slowdown.xml,2,6,Havlak,Slowdown,"som.Vector.forEach",56.0,"havlak.HavlakLoopFinder.doDFS",13.5,"som.Vector.append",11.7,"havlak.HavlakLoopFinder.findLoops",7.5,"java.util.Arrays.copyOf",3.5
2_6_Json_Slowdown.xml,2,6,Json,Slowdown,"json.JsonPureStringParser.read",32.7,"json.JsonPureStringParser.skipWhiteSpace",16.7,"json.JsonPureStringParser.endCapture",15.9,"json.JsonPureStringParser.readDigit",12.5,"json.JsonPureStringParser.readValue",7.6
2_6_List_Slowdown.xml,2,6,List,Slowdown,"List.isShorterThan",90.2,"List.tail",9.1,"List.makeList",0.4,"List.benchmark",0.3,"List$Element.length",0.0
2_6_Richards_Slowdown.xml,2,6,Richards,Slowdown,"richards.TaskControlBlock.runTask",83.0,"richards.Scheduler.schedule",15.8,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
2_7_Havlak_Slowdown.xml,2,7,Havlak,Slowdown,"som.Vector.forEach",54.7,"havlak.HavlakLoopFinder.doDFS",14.1,"som.Vector.append",11.7,"havlak.HavlakLoopFinder.findLoops",8.0,"java.util.Arrays.copyOf",3.4
2_7_Json_Slowdown.xml,2,7,Json,Slowdown,"json.JsonPureStringParser.read",31.9,"json.JsonPureStringParser.skipWhiteSpace",17.0,"json.JsonPureStringParser.endCapture",14.3,"json.JsonPureStringParser.readDigit",12.9,"json.JsonPureStringParser.readValue",8.5
2_7_List_Slowdown.xml,2,7,List,Slowdown,"List.isShorterThan",90.2,"List.tail",8.9,"List.makeList",0.4,"List.benchmark",0.3,"List$Element.length",0.1
2_7_Richards_Slowdown.xml,2,7,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.4,"richards.Scheduler.schedule",16.3,"richards.RBObject.append",0.4,"richards.Scheduler.start",0.1,"java.io.PrintStream.println",0.1
2_8_Havlak_Slowdown.xml,2,8,Havlak,Slowdown,"som.Vector.forEach",56.7,"havlak.HavlakLoopFinder.doDFS",13.0,"som.Vector.append",11.3,"havlak.HavlakLoopFinder.findLoops",7.7,"java.util.Arrays.copyOf",3.8
2_8_Json_Slowdown.xml,2,8,Json,Slowdown,"json.JsonPureStringParser.read",32.5,"json.JsonPureStringParser.skipWhiteSpace",16.6,"json.JsonPureStringParser.endCapture",15.1,"json.JsonPureStringParser.readDigit",13.5,"json.JsonPureStringParser.readValue",7.9
2_8_List_Slowdown.xml,2,8,List,Slowdown,"List.isShorterThan",90.5,"List.tail",8.8,"List.makeList",0.3,"List.benchmark",0.2,"List$Element.length",0.1
2_8_Richards_Slowdown.xml,2,8,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.1,"richards.Scheduler.schedule",16.7,"richards.RBObject.append",0.3,"richards.Scheduler.start",0.1,"Benchmark.innerBenchmarkLoop",0.1
2_9_Havlak_Slowdown.xml,2,9,Havlak,Slowdown,"som.Vector.forEach",55.1,"havlak.HavlakLoopFinder.doDFS",13.7,"som.Vector.append",11.7,"havlak.HavlakLoopFinder.findLoops",8.2,"java.util.Arrays.copyOf",3.5
2_9_Json_Slowdown.xml,2,9,Json,Slowdown,"json.JsonPureStringParser.read",32.5,"json.JsonPureStringParser.skipWhiteSpace",17.9,"json.JsonPureStringParser.endCapture",15.7,"json.JsonPureStringParser.readDigit",13.1,"json.JsonPureStringParser.readValue",7.7
2_9_List_Slowdown.xml,2,9,List,Slowdown,"List.isShorterThan",90.5,"List.tail",8.6,"List.makeList",0.5,"List.benchmark",0.3,"List$Element.length",0.1
2_9_Richards_Slowdown.xml,2,9,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.2,"richards.Scheduler.schedule",16.6,"richards.RBObject.append",0.4,"Benchmark.innerBenchmarkLoop",0.1,"richards.Scheduler.start",0.1
3_10_Havlak_Slowdown.xml,3,10,Havlak,Slowdown,"som.Vector.forEach",57.9,"som.Vector.append",12.0,"havlak.HavlakLoopFinder.findLoops",9.2,"havlak.HavlakLoopFinder.doDFS",8.4,"java.util.Arrays.copyOf",4.1
3_10_Json_Slowdown.xml,3,10,Json,Slowdown,"json.JsonPureStringParser.read",28.6,"json.JsonPureStringParser.skipWhiteSpace",28.2,"json.JsonPureStringParser.endCapture",13.3,"json.JsonPureStringParser.readDigit",10.5,"json.JsonPureStringParser.readChar",6.8
3_10_List_Slowdown.xml,3,10,List,Slowdown,"List.isShorterThan",89.3,"List.tail",9.9,"List.makeList",0.5,"List.benchmark",0.2,"List$Element.length",0.1
3_10_Richards_Slowdown.xml,3,10,Richards,Slowdown,"richards.TaskControlBlock.runTask",75.2,"richards.Scheduler.schedule",23.6,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"Run.reportBenchmark",0.1
3_1_Havlak_Slowdown.xml,3,1,Havlak,Slowdown,"som.Vector.forEach",58.0,"som.Vector.append",12.5,"havlak.HavlakLoopFinder.findLoops",8.9,"havlak.HavlakLoopFinder.doDFS",8.3,"java.util.Arrays.copyOf",4.0
